occupation,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
?,White,Female,0,4356,40,United-States,<=50K
Exec-managerial,White,Female,0,4356,18,United-States,<=50K
?,Black,Female,0,4356,40,United-States,<=50K
Machine-op-inspct,White,Female,0,3900,40,United-States,<=50K
Prof-specialty,White,Female,0,3900,40,United-States,<=50K
Other-service,White,Female,0,3770,45,United-States,<=50K
Adm-clerical,White,Male,0,3770,40,United-States,<=50K
Prof-specialty,White,Female,0,3683,20,United-States,>50K
Prof-specialty,White,Female,0,3683,40,United-States,<=50K
Craft-repair,White,Male,0,3004,60,?,>50K
Prof-specialty,Black,Female,0,3004,35,United-States,>50K
Prof-specialty,White,Male,0,2824,45,United-States,>50K
Other-service,White,Female,0,2824,20,United-States,>50K
Exec-managerial,White,Male,0,2824,55,United-States,>50K
?,White,Male,0,2824,40,United-States,>50K
Prof-specialty,White,Male,0,2824,40,United-States,>50K
Transport-moving,White,Male,0,2824,76,United-States,>50K
Exec-managerial,White,Male,0,2824,50,United-States,>50K
Handlers-cleaners,Black,Male,0,2824,40,?,>50K
Sales,White,Male,0,2824,50,United-States,>50K
Exec-managerial,White,Male,0,2824,40,United-States,>50K
Sales,White,Female,0,2754,42,United-States,<=50K
Sales,White,Female,0,2754,25,United-States,<=50K
Transport-moving,White,Male,0,2603,40,United-States,<=50K
?,White,Male,0,2603,32,United-States,<=50K
Craft-repair,White,Male,0,2603,40,United-States,<=50K
Craft-repair,White,Male,0,2603,32,Mexico,<=50K
Other-service,White,Male,0,2603,40,Greece,<=50K
Transport-moving,White,Male,0,2559,50,United-States,>50K
Prof-specialty,White,Male,0,2559,90,United-States,>50K
Other-service,White,Male,0,2559,40,United-States,>50K
Exec-managerial,White,Female,0,2559,50,United-States,>50K
Exec-managerial,White,Male,0,2559,60,United-States,>50K
Exec-managerial,White,Male,0,2559,50,United-States,>50K
Exec-managerial,Black,Male,0,2559,50,United-States,>50K
Exec-managerial,White,Female,0,2559,60,United-States,>50K
Sales,White,Male,0,2559,48,United-States,>50K
Prof-specialty,White,Female,0,2559,50,United-States,>50K
Prof-specialty,White,Female,0,2559,60,United-States,>50K
Prof-specialty,White,Female,0,2559,40,United-States,>50K
Exec-managerial,White,Male,0,2547,50,United-States,>50K
Exec-managerial,White,Female,0,2547,40,United-States,>50K
Adm-clerical,White,Female,0,2547,40,United-States,>50K
Prof-specialty,White,Female,0,2547,40,United-States,>50K
?,White,Male,0,2489,15,United-States,<=50K
Sales,White,Female,0,2472,70,United-States,>50K
Sales,White,Male,0,2467,52,United-States,<=50K
Farming-fishing,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K
?,White,Female,0,2457,40,United-States,<=50K
?,White,Male,0,2457,40,United-States,<=50K
Prof-specialty,White,Male,0,2444,45,United-States,>50K
Sales,White,Female,0,2444,72,United-States,>50K
Tech-support,White,Male,0,2444,39,United-States,>50K
Exec-managerial,White,Female,0,2444,40,United-States,>50K
Sales,White,Male,0,2444,45,United-States,>50K
Exec-managerial,White,Male,0,2444,50,United-States,>50K
Craft-repair,White,Male,0,2444,45,United-States,>50K
Protective-serv,White,Male,0,2444,40,United-States,>50K
Sales,White,Female,0,2444,45,United-States,>50K
Craft-repair,White,Male,0,2444,42,United-States,>50K
Craft-repair,White,Male,0,2444,70,United-States,>50K
Exec-managerial,White,Male,0,2444,40,United-States,>50K
Adm-clerical,White,Female,0,2415,6,United-States,>50K
Sales,Asian-Pac-Islander,Male,0,2415,40,China,>50K
Prof-specialty,White,Male,0,2415,40,United-States,>50K
Machine-op-inspct,White,Male,0,2415,70,?,>50K
Exec-managerial,White,Male,0,2415,60,United-States,>50K
Prof-specialty,White,Male,0,2415,35,Greece,>50K
Sales,White,Male,0,2415,60,United-States,>50K
Prof-specialty,White,Male,0,2415,60,United-States,>50K
Sales,White,Male,0,2415,55,United-States,>50K
Exec-managerial,White,Male,0,2415,50,United-States,>50K
Prof-specialty,White,Male,0,2415,45,United-States,>50K
Exec-managerial,White,Male,0,2415,50,United-States,>50K
Exec-managerial,White,Female,0,2415,65,United-States,>50K
Exec-managerial,White,Male,0,2415,60,United-States,>50K
?,White,Male,0,2415,12,United-States,>50K
Sales,White,Male,0,2415,65,United-States,>50K
Exec-managerial,White,Male,0,2415,45,United-States,>50K
Prof-specialty,White,Male,0,2415,48,United-States,>50K
Exec-managerial,White,Male,0,2415,55,United-States,>50K
Prof-specialty,White,Male,0,2415,80,United-States,>50K
Exec-managerial,White,Male,0,2415,70,Taiwan,>50K
Farming-fishing,White,Male,0,2415,40,United-States,>50K
Sales,White,Male,0,2415,50,United-States,>50K
Exec-managerial,White,Male,0,2415,50,United-States,>50K
Prof-specialty,White,Male,0,2415,50,?,>50K
Prof-specialty,Asian-Pac-Islander,Male,0,2415,55,?,>50K
Exec-managerial,White,Male,0,2415,50,United-States,>50K
Prof-specialty,White,Male,0,2415,55,United-States,>50K
Prof-specialty,Asian-Pac-Islander,Male,0,2415,67,India,>50K
Sales,White,Male,0,2415,40,United-States,>50K
Farming-fishing,White,Male,0,2415,99,United-States,>50K
Farming-fishing,White,Male,0,2415,60,United-States,>50K
Other-service,White,Female,0,2415,40,United-States,>50K
Adm-clerical,Asian-Pac-Islander,Male,0,2415,35,Philippines,>50K
Prof-specialty,White,Male,0,2415,80,United-States,>50K
Craft-repair,White,Male,0,2415,40,United-States,>50K
Sales,White,Male,0,2415,99,United-States,>50K
Prof-specialty,White,Male,0,2415,45,United-States,>50K
Prof-specialty,White,Male,0,2415,60,United-States,>50K
Prof-specialty,White,Male,0,2415,55,United-States,>50K
Exec-managerial,White,Male,0,2415,40,United-States,>50K
Prof-specialty,White,Male,0,2415,30,United-States,>50K
Exec-managerial,White,Female,0,2415,55,United-States,>50K
Sales,White,Male,0,2415,45,United-States,>50K
Prof-specialty,White,Male,0,2415,90,United-States,>50K
Sales,White,Male,0,2415,50,United-States,>50K
Exec-managerial,White,Female,0,2415,20,United-States,>50K
Exec-managerial,White,Male,0,2415,60,United-States,>50K
Prof-specialty,White,Male,0,2415,45,United-States,>50K
Exec-managerial,White,Male,0,2392,40,United-States,>50K
Exec-managerial,White,Male,0,2392,75,United-States,>50K
Prof-specialty,White,Male,0,2392,25,United-States,>50K
?,White,Male,0,2392,6,United-States,>50K
Exec-managerial,White,Male,0,2392,50,United-States,>50K
Exec-managerial,White,Male,0,2392,40,United-States,>50K
Exec-managerial,White,Male,0,2392,60,United-States,>50K
Exec-managerial,White,Male,0,2392,55,United-States,>50K
